yy;mm;SiteID;spi
1981;03;94;-0.880156870104664
1981;03;14158;-0.43285057767592816
1981;03;14246;-0.08224837754203795
1981;03;14271;-0.37740700475174976
1981;03;14415;-0.8348940707690655
1981;03;14444;-0.5537591074820624
1981;03;14458;-0.5294309239724879
1981;03;9013;-0.45461024996046345
1981;03;9068;NA
1981;03;9101;-1.1410055645763189
1981;03;9119;-0.10060657811366859
1981;03;9167;NA
1981;03;9177;-0.22120454059707986
1981;03;9191;NA
1981;03;9192;-2.5199968764520415
1981;03;9230;-0.7632760094771519
1981;03;9244;-0.8202797808023843
1981;03;9287;-0.5626063574536537
1981;03;9310;NA
1981;03;9317;-0.23641960038707696
1981;03;9404;-0.7027023305014694
1981;03;9573;-0.524896303626329
1981;03;9578;-0.41981501509497543
1981;03;2;-0.35229450368160325
1981;03;43;-0.6382972523519824
1981;03;47;-0.48674746380271056
1981;03;51;0.10369747962373783
1981;03;53;-0.2175567707048802
1981;03;7;-0.26270566536318335
1981;03;14233;-1.4674385669408996
1981;03;14437;-1.9852328280178335
1981;03;5884;-0.5251806138011064
1981;03;5937;NA
1981;03;7144;-0.5745806019494629
1981;03;6000;-1.5911971578987294
1981;03;6031;-0.4978654165220701
1981;03;9601;NA
1981;03;5598;NA
1981;03;5600;NA
1981;03;5602;NA
1981;03;5609;NA
1981;03;5612;NA
1981;03;5613;NA
1981;03;5617;NA
1981;03;5620;NA
1981;03;5621;NA
1981;03;5628;NA
1981;03;5629;NA
1981;03;5632;NA
1981;03;5634;NA
1981;03;5640;NA
1981;03;5646;NA
1981;03;5647;0.008057822157964677
1981;03;5649;1.009929356040248
1981;03;5651;NA
1981;03;10;-1.5116024868899987
1981;03;210;NA
1981;03;221;-0.767526172707633
1981;03;222;-0.7282683089966624
1981;03;225;-0.29714455547647034
1981;03;227;-0.44918927820291626
1981;03;228;-0.46415979548072683
1981;03;23;NA
1981;03;247;NA
1981;03;250;-0.07586279180472595
1981;03;31;-0.60399612305607
1981;03;349;-1.2183424178011808
1981;03;37;-0.07627031586803346
1981;03;39;NA
1981;03;4;-0.8720727184645982
1981;03;408;-0.8271410630292442
1981;03;41;-0.07729849632652984
1981;03;5;-0.6334751096799472
1981;03;50;-0.46770922304945695
1981;03;61;NA
1981;03;8;-0.9589506986204349
1981;03;6510;0.17250544998957715
1981;03;6511;0.22673104807810449
1981;03;6512;0.010374212478589101
1981;03;6516;0.40331542889691674
1981;03;6521;-0.06049143723953991
1981;03;6528;0.45796234697617655
1981;03;6529;0.6728763111765779
1981;03;6541;0.1954070113812225
1981;03;6543;0.9615323488231469
1981;03;6546;-0.36676275102206374
1981;03;6547;NA
1981;03;6561;0.14859461451918535
1981;03;6564;0.21482213571552292
1981;03;6569;-0.23895615348406601
1981;03;6570;-0.49970028494693014
1981;03;6576;-0.7600573194361574
1981;03;6591;0.46798744981382395
1981;03;6594;-0.014157097723457161
1981;03;6598;0.11061061555240205
1981;03;6601;-0.4325644062230865
1981;03;6602;-0.2959006883961147
1981;03;6615;0.5935575465004316
1981;03;6638;0.15383810342034115
1981;03;6639;-0.13348059748174165
1981;03;6640;0.3598685959032631
1981;03;44;1.4073554866071323
1981;03;5675;NA
1981;03;5677;-0.10877956781618578
1981;03;5678;NA
1981;03;5679;NA
1981;03;5680;NA
1981;03;5681;NA
1981;03;5682;NA
1981;03;5683;NA
1981;03;5687;NA
1981;03;5688;NA
1981;03;5689;NA
1981;03;5690;NA
1981;03;5691;NA
1981;03;5692;NA
1981;03;5693;NA
1981;03;5696;NA
1981;03;5697;NA
1981;03;5698;NA
1981;03;5699;NA
1981;03;5700;NA
1981;03;5703;NA
1981;03;5704;NA
