SiteID;SiteName;SiteCode;Latitude;Longitude;Elevation;regione;SpiID
6644;Malga Bissina;373;46.053933;10.514022;1750;trentino;trentino_6644
6509;Centa;9;45.970184;11.234123;815;trentino;trentino_6509
6511;Pontarso;14;46.115589;11.494414;925;trentino;trentino_6511
6512;Bieno;15;46.079537;11.553742;806;trentino;trentino_6512
6516;Passo Cereda;24;46.194016;11.906843;1375;trentino;trentino_6516
6520;Canal San Bovo;30;46.149827;11.73469;757;trentino;trentino_6520
6521;Lavarone;32;45.939893;11.254037;1155;trentino;trentino_6521
6528;Mezzana;71;46.313429;10.795807;905;trentino;trentino_6528
6529;Male';74;46.355098;10.916104;735;trentino;trentino_6529
6533;Passo Mendola;82;46.419238;11.189417;1320;trentino;trentino_6533
6539;Pian Fedaia (Diga);92;46.461795;11.862414;2040;trentino;trentino_6539
6546;Passo Rolle;103;46.297214;11.787638;1995;trentino;trentino_6546
6547;Passo Valles;104;46.338417;11.799764;2032;trentino;trentino_6547
6564;Sant'Orsola;139;46.107105;11.3022;930;trentino;trentino_6564
6569;Aldeno;146;45.967849;11.091715;182;trentino;trentino_6569
6570;Rovereto;147;45.896097;11.043954;203;trentino;trentino_6570
6576;Ronchi di Ala;153;45.739264;11.065345;692;trentino;trentino_6576
6591;Torrente Arno';177;46.032072;10.640512;1148;trentino;trentino_6591
6594;Montagne;182;46.059134;10.751656;955;trentino;trentino_6594
6598;Santa Massenza (Centrale);189;46.065821;10.980894;245;trentino;trentino_6598
6601;Torbole;193;45.881852;10.882485;70;trentino;trentino_6601
6602;Tenno;200;45.919256;10.831122;428;trentino;trentino_6602
6615;Romeno;236;46.390724;11.118834;958;trentino;trentino_6615
26;Gressoney-la-Trinité - Eselbode;1270;45.8306;7.82587;1642;valledaosta;valledaosta_26
44;Pontboset - Fournier;1470;45.6046;7.67989;1087;valledaosta;valledaosta_44
83;Rhêmes-Notre-Dame - Chaudanne;3060;45.5604;7.11374;1794;valledaosta;valledaosta_83
5675;Arabba;00003;46.49926;11.87637;1653;veneto;veneto_5675
5677;Caprile;00009;46.43977;11.99027;1076;veneto;veneto_5677
5679;Gares (Canale d'Agordo);00015;46.31246;11.88295;1392;veneto;veneto_5679
5681;S. Andrea (Gosaldo);00021;46.22896;11.95784;1279;veneto;veneto_5681
5683;Sospirolo;00025;46.14025;12.07977;363;veneto;veneto_5683
5689;Auronzo;00053;46.55558;12.42613;877;veneto;veneto_5689
5691;Campo di Zoldo;00056;46.34599;12.18443;875;veneto;veneto_5691
5705;Crespadoro;00088;45.62545;11.20952;513;veneto;veneto_5705
5720;Legnaro;00111;45.34669;11.95239;7;veneto;veneto_5720
5755;Cavallino (Treporti);00160;45.45805;12.48642;2;veneto;veneto_5755
9604;ARIANOETGFE;08ARIANOETGFE;44.9456;12.1209;2;veneto;veneto_9604
